time_ms,exit_code,path_size,path,buffer_size,buffer,num_states,num_controls
,,,,,0.1963,,
,,,,,94,,
,,,,,81,,
,,,,,-1,,
,,,,,9,,
,,,,,6.22626,,
,,,,,0.29077,,
,,,,,1.39395,,
,,,,,0.285513,,
,,,,,0.1963,,
,,,,,0.0667,,
,,,,,-0.1963,,
,,,,,95,,
,,,,,81,,
,,,,,-1,,
,,,,,9,,
,,,,,6.08983,,
,,,,,0.33077,,
,,,,,1.57475,,
,,,,,0.37027,,
,,,,,0.58895,,
,,,,,0.4667,,
,,,,,0.589,,
,,,,,96,,
,,,,,81,,
,,,,,-1,,
,,,,,9,,
,,,,,6.17684,,
,,,,,0.31077,,
,,,,,1.49278,,
,,,,,0.297851,,
,,,,,-0.0491501,,
,,,,,0.2667,,
,,,,,-0.6872,,
,,,,,97,,
,,,,,81,,
,,,,,-1,,
,,,,,9,,
,,,,,6.23204,,
,,,,,0.28854,,
,,,,,1.3828,,
,,,,,0.283956,,
,,,,,0.34355,,
,,,,,0.0444,,
,,,,,0.0982,,
,,,,,98,,
,,,,,81,,
,,,,,-1,,
,,,,,9,,
,,,,,6.11923,,
,,,,,0.32854,,
,,,,,1.57757,,
,,,,,0.328909,,
,,,,,0.1472,,
,,,,,0.4444,,
,,,,,-0.2945,,
,,,,,99,,
,,,,,81,,
,,,,,-1,,
,,,,,9,,
,,,,,6.16497,,
,,,,,0.30854,,
,,,,,1.47432,,
,,,,,0.323741,,
,,,,,0.5399,,
,,,,,0.2444,,
,,,,,0.4909,,
,,,,,104,,
,,,,,93,,
,,,,,-1,,
,,,,,10,,
,,,,,6.02822,,
,,,,,0.35076,,
,,,,,1.67038,,
,,,,,0.401389,,
,,,,,0.49075,,
,,,,,0.3333,,
,,,,,0.1963,,
,,,,,101,,
,,,,,93,,
,,,,,-1,,
,,,,,10,,
,,,,,6.07947,,
,,,,,0.33743,,
,,,,,1.61405,,
,,,,,0.362508,,
,,,,,0.19625,,
,,,,,0.2,,
,,,,,-0.3927,,
,,,,,102,,
,,,,,93,,
,,,,,-1,,
,,,,,10,,
,,,,,6.09441,,
,,,,,0.33076,,
,,,,,1.57838,,
,,,,,0.361869,,
,,,,,0.58895,,
,,,,,0.1333,,
,,,,,0.3927,,
,,,,,103,,
,,,,,93,,
,,,,,-1,,
,,,,,10,,
,,,,,5.98659,,
,,,,,0.37043,,
,,,,,1.77326,,
,,,,,0.403323,,
,,,,,0.0981001,,
,,,,,0.53,,
,,,,,-0.589,,
,,,,,104,,
,,,,,93,,
,,,,,-1,,
,,,,,10,,
,,,,,6.02822,,
,,,,,0.35076,,
,,,,,1.67038,,
,,,,,0.401389,,
,,,,,0.49075,,
,,,,,0.3333,,
,,,,,0.1963,,
,,,,,105,,
,,,,,93,,
,,,,,-1,,
,,,,,10,,
,,,,,6.11942,,
,,,,,0.3241,,
,,,,,1.55037,,
,,,,,0.343199,,
,,,,,0.29445,,
,,,,,0.0667,,
,,,,,-0.1963,,
,,,,,106,,
,,,,,93,,
,,,,,111,,
,,,,,10,,
